,title,genres,overview,production_companies,original_language,status,averageRating,numVotes,combined_features,index
0,toy story,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","[{'name': 'Pixar Animation Studios', 'id': 3}]",en,Released,8.3,867115.0,toy story animation comedy family animation comedy family led by woody andys toys live happily in his room until andys birthday brings buzz lightyear onto the scene afra of losing his place in andys heart woody plots against buzz but when circumstances separate buzz and woody from their owner the duo eventually learns to put ase their differences pixar animation studios en en en,0
1,heat,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]","Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Warner Bros.', 'id': 6194}]",en,Released,8.2,564175.0,heat action crime drama thriller action crime drama thriller obsessive master thief neil mccauley leads a top-notch crew on various insane heists throughout los angeles while a mentally unstable detective vincent hanna pursues him without rest each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence regency enterprises forward pass warner bros en en en,1
2,goldeneye,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"[{'name': 'United Artists', 'id': 60}, {'name': 'Eon Productions', 'id': 7576}]",en,Released,7.2,235120.0,goldeneye adventure action thriller adventure action thriller james bond must unmask the mysterious head of the janus syndicate and prevent the leader from utilizing the goldeneye weapons system to inflict devastating revenge on britain united artists eon productions en en en,2
3,balto,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Amblimation', 'id': 4105}]",en,Released,7.1,39026.0,balto family animation adventure family animation adventure an outcast half-wolf risks his life to prevent a deadly epemic from ravaging nome alaska universal pictures amblin entertainment amblimation en en en,3
4,nixon,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]","An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",en,Released,7.1,28373.0,nixon history drama history drama an all-star cast powers this epic look at american present richard m nixon a man carrying the fate of the world on his shoulders while battling the self-destructive demands within spanning his troubled boyhood in california to the shocking watergate scandal that would end his presency hollywood pictures cinergi pictures entertainment en en en,4
5,casino,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Légende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]",en,Released,8.2,454627.0,casino drama crime drama crime the life of the gambling paradise – las vegas – and its dark mafia underbelly universal pictures légende entreprises syalis da de fina-cappa en en en,5
6,sense and sensibility,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mirage Enterprises', 'id': 932}]",en,Released,7.6,99889.0,sense and sensibility drama romance drama romance rich mr dashwood dies leaving his second wife and her daughters poor by the rules of inheritance two daughters are the titular opposites columbia pictures corporation mirage enterprises en en en,6
7,leaving las vegas,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","[{'name': 'United Artists', 'id': 60}, {'name': 'Intial Productions', 'id': 15547}]",en,Released,7.5,112851.0,leaving las vegas drama romance drama romance ben sanderson an alcoholic hollywood screenwriter who lost everything because of his drinking arrives in las vegas to drink himself to death there he meets and forms an uneasy friendship and non-interference pact with prostitute sera united artists intial productions en en en,7
8,twelve monkeys,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Classico', 'id': 17031}]",en,Released,8.0,569758.0,twelve monkeys science fiction thriller mystery science fiction thriller mystery in the year convict james cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earths population and forced the survivors into underground communities but when cole is mistakenly sent to instead of hes arrested and locked up in a mental hospital there he meets psychiatrist dr kathryn railly and patient jeffrey goines the son of a famous virus expert who may hold the key to the mysterious rogue group the army of the monkeys thought to be responsible for unleashing the killer disease universal pictures atlas entertainment classico en en en,8
9,dead man walking,"[{'id': 18, 'name': 'Drama'}]",A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,"[{'name': 'Havoc', 'id': 406}, {'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'Working Title Films', 'id': 10163}]",en,Released,7.5,87244.0,dead man walking drama drama a justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution susan sarandon won an oscar for best female actress for her convincing portrayal of sister helen prejean havoc polygram filmed entertainment working title films en en en,9
