Index,Id,Title,Year,Rated,Runtime,Director,Writer,Actors,Plot,imdbRating,imdbVotes
1,1,Toy Story,1995,G,81 min,John Lasseter,"John Lasseter (original story by), Pete Docter (original story by), Andrew Stanton (original story by), Joe Ranft (original story by), Joss Whedon (screenplay by), Andrew Stanton (screenplay by), Joel Cohen (screenplay by), Alec Sokolow (screenplay by)","Tom Hanks, Tim Allen, Don Rickles, Jim Varney",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,8.3,700233
2,2,Jumanji,1995,PG,104 min,Joe Johnston,"Jonathan Hensleigh (screenplay), Greg Taylor (screenplay), Jim Strain (screenplay), Greg Taylor (screen story), Jim Strain (screen story), Chris Van Allsburg (screen story), Chris Van Allsburg (book)","Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce","When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",6.9,234352
3,3,Grumpier Old Men,1995,PG-13,101 min,Howard Deutch,"Mark Steven Johnson (characters), Mark Steven Johnson","Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",6.6,20767
4,4,Waiting to Exhale,1995,R,124 min,Forest Whitaker,"Terry McMillan (novel), Terry McMillan (screenplay), Ronald Bass (screenplay)","Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",5.7,8000
5,5,Father of the Bride Part II,1995,PG,106 min,Charles Shyer,"Albert Hackett (screenplay ""Father's Little Dividend""), Frances Goodrich (screenplay ""Father's Little Dividend""), Nancy Meyers (screenplay), Charles Shyer (screenplay)","Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley","George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",5.9,28744
6,6,Heat,1995,R,170 min,Michael Mann,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist, while both sides attempt to find balance between their personal and their professional lives.",8.2,473243
7,7,Sabrina,1995,PG,127 min,Sydney Pollack,"Samuel A. Taylor (play), Billy Wilder (earlier screenplay), Samuel A. Taylor (earlier screenplay), Ernest Lehman (earlier screenplay), Barbara Benedek (screenplay), David Rayfiel (screenplay)","Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.3,31541
8,8,Tom and Huck,1995,PG,97 min,Peter Hewitt,"Mark Twain (novel), Stephen Sommers (screenplay), David Loughery (screenplay)","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,5.6,8199
9,9,Sudden Death,1995,R,111 min,Peter Hyams,"Karen Elise Baldwin (story), Gene Quintano (screenplay)","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright",A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,5.7,27627
10,10,GoldenEye,1995,PG-13,130 min,Martin Campbell,"Ian Fleming (characters), Michael France (story), Jeffrey Caine (screenplay), Bruce Feirstein (screenplay)","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow Agent formerly believed to be dead.,7.2,210513
11,11,The American President,1995,PG-13,114 min,Rob Reiner,Aaron Sorkin,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox","Comedy-drama about a widowed U.S. President and a lobbyist who fall in love. It's all above-board, but ""politics is perception"", and sparks fly anyway.",6.8,45347
12,12,Dracula: Dead and Loving It,1995,PG-13,88 min,Mel Brooks,"Mel Brooks (screenplay), Rudy De Luca (screenplay), Steve Haberman (screenplay), Rudy De Luca (story), Steve Haberman (story), Bram Stoker (characters)","Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck",Mel Brooks' parody of the classic vampire story and its famous film adaptations.,5.8,32870
13,13,Balto,1995,G,78 min,Simon Wells,"Cliff Ruby (screenplay), Elana Lesser (screenplay), David Steven Cohen (screenplay), Roger S.H. Schulman (screenplay)","Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",7.1,33154
